Flight date,gross
2014-01-12,7885
2014-01-18,4308
2014-02-16,3050
2014-02-22,6576
2014-02-23,9462
2014-02-23,9059
2014-02-01,8606
2014-02-02,7582
2014-02-02,4984
2014-02-08,7094
2014-02-09,6556
2014-02-09,6715
2014-02-15,9083
2014-02-16,8500
2014-03-16,3431
2014-03-22,9207
2014-03-23,9372
2014-03-23,5720
2014-03-29,2237
2014-03-30,8906
2014-03-30,8864
2014-03-01,3733
2014-03-02,6788
2014-03-02,6018
2014-03-08,3312
2014-03-09,3628
2014-03-09,5559
2014-03-15,3604
2014-03-16,4659
2014-04-20,9162
2014-04-05,8220
2014-04-06,9990
2014-04-06,6064
2014-04-12,3934
2014-04-13,5485
2014-04-13,9394
2014-04-19,8276
2014-04-20,9101
2014-01-19,6959
2014-01-25,4932
2014-01-26,7715
2014-01-26,3860
2014-01-04,6936
2014-01-05,8191
2014-01-05,5958
2014-01-11,3936
2014-01-12,3727
2014-01-12,7639
2014-01-18,8901
2014-01-19,7986
2014-01-01,4804
2014-01-01,6205
2014-01-01,8654
2014-01-01,2781
2014-01-01,7778
2014-01-01,2179
2014-01-01,6812
2014-01-01,5931
2014-01-01,9603
2014-01-01,6322
2014-01-01,3542
2014-01-01,2654
2014-01-01,9703
2014-01-01,6123
2014-01-01,8090
2014-01-01,3120
2014-01-01,3819
2014-01-01,4180
2014-01-01,8484
2014-01-01,8050
2014-01-01,4530
2014-01-01,6735
2014-01-01,6418
2014-01-01,6878
2014-01-01,3723
2014-01-01,2578
2014-01-01,8815
2014-01-01,3515
2014-01-01,2102
2014-01-01,2281
2014-01-01,9324
2014-01-01,7079
2014-01-01,4505
2014-01-01,8815
2014-01-01,8096
2014-01-01,4191
2014-01-01,3011
2014-01-01,9690
2014-01-01,4430
2014-01-01,9811
2014-01-01,2409
2014-01-01,2370
2014-01-01,4745
2014-01-01,3393
2014-01-01,2704
2014-01-01,3091
2014-01-01,7050
2014-01-01,6035
2014-01-01,2007
2014-01-01,4979
2014-01-01,8825
2014-01-01,6996
2014-03-01,4350
2014-03-01,5898
2014-03-01,2900
2014-03-01,2553
2014-03-01,7417
2014-03-01,2102
2014-03-01,4117
2014-03-01,2421
2014-03-01,2764
2014-03-01,5151
2014-03-01,5565
2014-03-01,7891
2014-03-01,7423
2014-03-01,8463
2014-03-01,2059
2014-03-01,7109
2014-03-01,5614
2014-03-01,8413
2014-03-01,5960
2014-03-01,6501
2014-03-01,7415
2014-03-01,7916
2014-03-01,3086
2014-03-01,6079
2014-03-01,8392
2014-03-01,8238
2014-03-01,2538
2014-03-01,8524
2014-03-01,6324
2014-03-01,7126
2014-03-01,7851
2014-03-01,6692
2014-03-01,5668
2014-03-01,8654
2014-03-01,4572
2014-03-01,3146
2014-03-01,6028
2014-03-01,9626
2014-03-01,2195
2014-03-01,4235
2014-03-01,2796
2014-03-01,2248
2014-03-01,6374
2014-03-01,4390
2014-03-01,2641
2014-03-01,5390
2014-03-01,3154
2014-03-01,8558
2014-03-01,3376
2014-03-01,8643
2014-03-01,9660
2014-03-01,6786
2014-03-01,5457
2014-03-01,6921
2014-03-01,3707
2014-03-01,6316
2014-10-02,9671
2014-10-02,6426
2014-10-02,9704
2014-02-14,8609
2014-02-14,3227
2014-05-18,4911
2014-05-15,5495
2014-04-20,17343
2014-04-20,34126
2014-02-04,22755
2014-02-04,16818
2014-02-24,8765
2014-02-24,5051
2014-01-20,29207
2014-01-20,15119
2014-08-25,9197
2014-08-25,7468
2014-01-21,2904
2014-01-21,9120
2014-01-21,9656
2014-01-21,9570
2014-01-19,5260
2014-02-09,7492
2014-03-23,8142
2014-01-20,5839
2014-01-20,2692
2014-01-20,8673
2014-01-20,6258
2014-01-20,8592
2014-01-20,2008
2014-01-20,8153
2014-01-20,9504
2014-01-20,3513
2014-01-20,8276
2014-01-20,4375
2014-01-20,6650
2014-06-18,10177
2014-04-27,6873
2014-01-06,2161
2014-01-06,2351
2014-01-06,37326
2014-01-06,18004
2014-01-06,22234
2014-01-06,39715
2014-01-13,4657
2014-01-13,4479
2014-01-20,5712
2014-01-20,8400
2014-02-15,11692
2014-03-31,9401
2014-04-02,6667
2014-01-11,1818
2014-02-22,4350
2014-02-22,3658
2014-02-02,4274
2014-02-02,6609
2014-02-02,3116
2014-01-05,31323
2014-01-05,10123
2014-01-14,6515
2014-01-14,3293
2014-01-14,7873
2014-01-14,2403
2014-01-14,6621
2014-01-14,4655
2014-01-14,8794
2014-01-14,2330
2014-02-03,4033
2014-02-03,7877
2014-03-28,13995
2014-03-28,11797
2014-08-29,5500
2014-08-29,4375
2014-02-09,9281
2014-01-21,2588
2014-04-09,3650
2014-05-12,42329
2014-05-05,1382
2014-05-12,6407
2014-05-19,2229
2014-05-26,4972
2014-06-02,636
2014-06-27,26738
2014-06-27,14890
2014-01-14,5086
2014-01-14,2601
2014-01-14,5431
2014-01-14,8875
2014-04-14,701
2014-04-21,9916
2014-04-28,4658
2014-05-05,2749
2014-05-12,32015
2014-05-19,23089
2014-05-26,46506
2014-06-02,8712
2014-06-09,5009
2014-05-06,3076
2014-05-13,49464
2014-05-20,23132
2014-05-27,30157
2014-02-02,6308
2014-01-29,5717
2014-10-03,7939
2014-10-03,8039
2014-10-03,5460
2014-10-03,9992
2014-10-03,3796
2014-10-03,7750
2014-10-03,9065
2014-10-03,7414
2014-10-03,7084
2014-10-03,2365
2014-10-12,11299
2014-10-12,12699
2014-10-12,17697
2014-10-12,19555
2014-10-12,10774
2014-10-12,26942
2014-10-12,34295
2014-10-12,47247
2014-10-12,11081
2014-10-12,39315
2014-02-19,5978
2014-10-06,32886
2014-10-06,38719
2014-10-06,15734
2014-01-15,773
2014-01-15,1504
2014-01-15,552
2014-01-03,27170
2014-01-03,19725
2014-01-03,49738
2014-01-03,30153
2014-01-03,24680
2014-01-10,30858
2014-01-10,17036
2014-01-10,19013
2014-01-10,22570
2014-01-10,13358
2014-01-17,30260
2014-01-17,42803
2014-01-17,20471
2014-01-17,12255
2014-01-17,13913
2014-01-24,33577
2014-01-24,28152
2014-01-24,14157
2014-01-24,32384
2014-01-24,30489
2014-01-31,37761
2014-01-31,28996
2014-01-31,47023
2014-01-31,48892
2014-01-31,15895
2014-02-07,34660
2014-02-07,31270
2014-02-07,40310
2014-02-07,29503
2014-02-07,14528
2014-02-14,40721
2014-02-14,20547
2014-02-14,22559
2014-02-14,28718
2014-02-14,11303
2014-02-21,17230
2014-02-21,38114
2014-02-21,39197
2014-02-21,11914
2014-02-21,16322
2014-02-28,38670
2014-02-28,42325
2014-02-28,34561
2014-02-28,35414
2014-02-28,31925
2014-03-07,17939
2014-03-07,35467
2014-03-07,31870
2014-03-07,33002
2014-03-07,17123
2014-03-14,16762
2014-03-14,29426
2014-03-14,49349
2014-03-14,24795
2014-03-14,35124
2014-03-21,31463
2014-03-21,37529
2014-03-21,39426
2014-03-21,23243
2014-03-21,18435
2014-02-09,4019
2014-02-10,3834
2014-05-16,7376
2014-01-21,25975
2014-01-21,43239
2014-02-11,48720
2014-02-11,48589
2014-03-04,47832
2014-03-04,39298
2014-01-14,25957
2014-01-14,35197
2014-01-28,44282
2014-01-28,22863
2014-02-07,32865
2014-02-07,24879
2014-02-07,31403
2014-02-07,19212
2014-02-07,35393
2014-02-07,41801
2014-03-18,14242
2014-03-18,12970
2014-03-18,32709
2014-03-18,21265
2014-03-18,32832
2014-03-18,23634
2014-04-29,8255
2014-04-24,7881
2014-04-29,8143
2014-05-02,9743
2014-09-04,7222
2014-09-04,2401
2014-08-24,1512
2014-08-24,1931
2014-05-24,39002
2014-05-31,40827
2014-06-07,15485
2014-06-14,30132
2014-06-21,47075
2014-06-28,39497
2014-07-05,47946
2014-07-12,32566
2014-07-19,41544
2014-07-26,39314
2014-08-02,35303
2014-08-09,39286
2014-08-16,40336
2014-08-23,38403
2014-08-30,37031
2014-09-06,36507
2014-09-13,32665
2014-09-20,34101
2014-09-27,19459
2014-10-04,11017
2014-10-11,13227
2014-10-18,14911
2014-10-25,48248
2014-11-01,46251
2014-01-25,2816
2014-01-25,7668
2014-01-25,4937
2014-01-25,2233
2014-01-25,3136
2014-01-25,7220
2014-01-25,836
2014-01-25,1823
2014-06-02,42932
2014-08-29,2872
2014-02-20,1934
2014-02-20,962
2014-02-20,784
2014-02-20,547
2014-02-28,660
2014-02-28,935
2014-02-28,1053
2014-02-28,1548
2014-02-23,1710
2014-02-23,681
2014-02-23,1197
2014-02-23,980
2014-03-05,983
2014-03-05,776
2014-03-05,905
2014-03-05,1543
2014-03-03,8760
2014-03-03,4558
2014-03-03,8539
2014-03-03,3315
2014-04-10,47928
2014-07-24,3147
2014-07-24,8738
2014-06-10,28197
2014-03-28,7407
2014-03-28,9496
2014-03-28,5131
2014-02-13,6650
2014-02-13,4248
2014-02-13,3875
2014-02-13,3509
2014-10-12,7277
2014-10-12,8839
2014-04-10,15231
2014-04-10,45825
2014-05-14,41730
2014-05-14,35441
2014-02-22,2189
2014-02-22,9871
2014-06-05,1004
2014-05-11,9894
2014-05-11,7588
2014-10-11,2012
2014-10-11,3561
2014-02-11,4065
2014-03-07,3576
2014-03-07,8424
2014-03-07,6849
2014-03-07,3938
2014-03-07,2815
2014-03-07,2705
2014-01-17,6063
2014-01-17,8999
2014-11-02,12843
2014-11-02,47963
2014-05-24,4444
2014-06-14,4599
2014-06-14,9184
2014-06-29,31564
2014-06-29,30055
2014-06-29,24870
2014-06-29,44548
2014-05-14,44661
2014-05-14,48669
2014-05-14,38948
2014-05-14,46407
2014-09-12,4484
2014-09-12,4720
2014-03-24,2962
2014-01-30,7976
2014-01-30,9184
2014-01-11,3530
2014-01-11,6185
2014-01-11,8485
2014-01-23,22527
2014-01-23,26234
2014-01-23,29611
2014-03-11,7599
2014-03-11,7458
2014-03-11,5203
2014-03-22,32763
2014-03-22,46635
2014-03-22,29286
2014-02-11,6274
2014-03-13,4410
2014-03-13,3982
2014-01-31,4385
2014-01-13,6360
2014-01-13,9562
2014-01-13,7321
2014-02-08,5295
2014-02-08,7964
2014-01-16,23349
2014-01-18,7194
2014-06-19,1666
2014-02-14,1786
2014-02-05,6285
2014-02-09,6058
2014-01-08,4653
2014-01-08,3500
2014-01-08,6175
2014-01-12,5705
2014-01-12,7020
2014-01-12,7872
2014-01-24,4022
2014-01-24,5447
2014-01-24,8397
2014-01-31,4917
2014-01-31,9897
2014-01-31,5940
2014-02-02,7782
2014-02-02,9995
2014-02-02,3101
2014-02-07,6997
2014-02-07,5292
2014-02-07,6245
2014-02-21,8008
2014-02-21,7933
2014-02-21,4607
2014-02-28,3520
2014-02-28,2164
2014-02-28,7352
2014-03-02,7951
2014-03-02,9228
2014-03-02,5855
2014-03-07,2178
2014-03-07,5463
2014-03-07,8834
2014-03-21,8610
2014-03-21,4178
2014-03-21,8907
2014-03-28,3899
2014-03-28,3699
2014-03-28,7471
2014-04-04,9971
2014-04-04,9224
2014-04-04,7636
2014-04-18,3253
2014-04-18,8420
2014-04-18,8596
2014-04-30,8938
2014-04-30,3139
2014-04-30,5741
2014-05-11,2536
2014-05-11,4293
2014-05-11,2476
2014-05-16,8094
2014-05-16,3302
2014-05-16,8223
2014-05-23,8509
2014-05-23,6667
2014-05-23,9170
2014-05-30,8581
2014-05-30,7475
2014-05-30,7693
2014-06-01,4865
2014-06-01,2883
2014-06-01,5575
2014-06-11,7278
2014-06-11,7764
2014-06-11,2524
2014-06-20,8681
2014-06-20,7504
2014-06-20,7131
2014-06-27,2434
2014-06-27,6070
2014-06-27,2340
2014-07-04,6951
2014-07-04,3754
2014-07-04,8270
2014-07-11,5028
2014-07-11,9290
2014-07-11,7296
2014-07-25,8635
2014-07-25,8484
2014-07-25,6117
2014-08-17,4082
2014-08-17,6914
2014-08-17,8854
2014-08-22,4404
2014-08-22,6729
2014-08-22,8079
2014-09-05,2659
2014-09-05,5031
2014-09-05,6389
2014-09-12,8154
2014-09-12,3286
2014-09-12,4244
2014-09-19,5570
2014-09-19,6220
2014-09-19,7891
2014-10-03,5016
2014-10-03,2015
2014-10-03,3076
2014-10-10,3852
2014-10-10,3883
2014-10-10,3841
2014-10-17,4836
2014-10-17,4012
2014-10-17,9748
2014-10-31,8907
2014-10-31,7953
2014-10-31,8354
2014-12-06,4528
2014-12-06,3306
2014-12-06,4822
2014-12-06,7020
2014-12-06,8659
2014-12-06,6517
2014-12-06,8702
2014-12-06,9268
2014-12-06,4079
2014-05-30,9617
2014-05-30,2947
2014-05-30,8265
2014-05-30,2821
2014-05-30,5462
2014-05-30,3201
2014-05-30,5063
2014-06-01,2143
2014-06-01,6798
2014-06-01,7057
2014-06-01,2534
2014-06-01,6852
2014-06-01,2362
2014-06-01,9784
2014-07-11,8338
2014-07-11,6681
2014-06-18,4685
2014-05-29,39738
2014-05-29,35796
2014-05-29,29519
2014-05-29,23225
2014-05-29,31966
2014-05-29,30852
2014-05-29,14339
2014-05-29,37390
2014-02-24,6265
2014-02-24,6977
2014-02-24,6496
2014-02-26,9764
2014-02-26,6737
2014-02-26,6852
2014-01-31,3786
2014-01-31,6306
2014-01-31,7226
2014-01-31,3405
2014-01-31,2340
2014-01-31,4717
2014-01-31,9127
2014-01-31,6488
2014-03-22,9456
2014-03-22,4855
2014-03-22,3503
2014-03-16,5637
2014-03-16,5546
2014-03-16,2568
2014-05-20,8472
2014-05-20,8418
2014-06-30,5659
2014-01-02,6149
2014-01-02,9915
2014-11-04,2411
2014-11-04,8924
2014-11-04,4329
2014-11-14,3350
2014-11-14,9307
2014-11-14,6097
2014-11-21,3049
2014-11-21,9145
2014-11-21,4944
2014-11-28,4786
2014-11-28,2960
2014-11-28,8616
2014-04-26,25096
2014-01-17,2408
2014-05-02,21212
2014-05-09,17393
2014-05-16,18075
2014-05-23,32245
2014-05-30,25856
2014-05-02,35176
2014-05-02,37846
2014-05-09,18103
2014-05-09,27236
2014-05-16,11115
2014-05-16,28171
2014-05-23,37026
2014-05-23,10683
2014-05-30,18205
2014-05-30,43991
2014-06-06,49014
2014-06-13,41507
2014-06-20,38322
2014-06-27,41151
2014-06-06,23250
2014-06-06,19167
2014-06-13,24284
2014-06-13,43463
2014-06-20,10819
2014-06-20,38930
2014-06-27,27954
2014-06-27,44921
2014-07-04,28808
2014-07-11,21960
2014-07-18,41894
2014-07-25,46791
2014-07-04,49172
2014-07-04,39968
2014-07-11,11629
2014-07-11,45551
2014-07-18,31478
2014-07-18,25136
2014-07-25,49559
2014-07-25,33769
2014-08-01,17479
2014-08-08,26743
2014-08-15,35485
2014-08-22,12868
2014-08-29,32910
2014-08-01,80009
2014-08-01,91533
2014-08-01,31710
2014-08-01,19916
2014-08-08,32551
2014-08-08,23818
2014-08-15,48334
2014-08-15,44366
2014-08-22,28307
2014-08-22,46619
2014-08-29,34482
2014-08-29,35681
2014-04-21,44655
2014-04-28,40795
2014-08-05,14218
2014-08-05,43058
2014-08-12,30952
2014-08-12,23265
2014-09-05,14172
2014-09-12,49173
2014-09-19,42725
2014-09-26,33544
2014-09-05,23473
2014-09-05,10536
2014-09-12,24408
2014-09-12,23725
2014-09-19,15257
2014-09-19,31262
2014-09-26,33862
2014-09-26,11686
2014-04-09,6337
2014-10-03,32752
2014-10-10,30178
2014-10-17,23558
2014-10-24,47928
2014-10-31,30741
2014-10-03,34538
2014-10-03,32314
2014-10-10,21888
2014-10-10,19375
2014-10-17,34183
2014-10-17,35295
2014-10-24,12561
2014-10-24,39005
2014-10-31,27723
2014-10-31,25499
2014-07-03,1317
2014-05-24,37327
2014-05-24,48563
2014-05-31,41702
2014-05-31,46643
2014-05-25,21440
2014-05-25,47574
2014-05-25,16783
2014-05-25,16693
2014-05-26,43684
2014-05-26,25732
2014-05-20,29137
2014-05-20,33045
2014-05-27,44434
2014-05-27,15999
2014-05-22,48691
2014-05-22,44692
2014-05-29,33170
2014-05-29,36280
2014-05-23,28956
2014-05-23,10189
2014-05-30,17431
2014-05-30,43252
2014-06-22,44434
2014-06-22,33851
2014-06-29,12586
2014-06-29,24442
2014-06-02,18368
2014-06-02,49389
2014-06-09,29869
2014-06-09,36894
2014-06-16,36383
2014-06-16,19948
2014-06-23,31078
2014-06-23,25463
2014-06-03,34998
2014-06-03,28502
2014-06-10,15402
2014-06-10,39421
2014-06-17,43923
2014-06-17,31908
2014-06-24,13198
2014-06-24,26041
2014-06-01,13654
2014-06-01,17397
2014-06-05,41143
2014-06-05,17639
2014-06-12,13566
2014-06-12,47611
2014-06-19,49258
2014-06-19,35861
2014-06-06,23195
2014-06-06,16896
2014-06-13,32214
2014-06-13,49655
2014-06-20,43716
2014-06-20,18772
2014-06-27,18937
2014-06-27,29478
2014-06-07,30657
2014-06-07,35304
2014-06-14,26417
2014-06-14,38665
2014-06-21,24262
2014-06-21,25969
2014-06-08,38742
2014-06-08,17253
2014-06-28,18822
2014-06-28,11626
2014-06-11,47293
2014-06-11,42396
2014-06-18,40748
2014-06-18,20506
2014-06-25,42001
2014-06-25,23268
2014-06-30,10251
2014-06-30,45503
2014-06-26,12381
2014-06-26,48987
2014-06-15,14653
2014-06-15,27911
2014-06-22,37661
2014-06-22,22755
2014-06-29,29803
2014-06-29,15501
2014-06-01,30702
2014-06-01,16917
2014-06-08,19601
2014-06-08,36106
2014-06-15,16682
2014-06-15,15446
2014-07-24,24751
2014-07-24,15182
2014-07-31,32642
2014-07-31,31927
2014-07-04,11747
2014-07-04,13827
2014-07-11,24410
2014-07-11,33171
2014-07-18,38012
2014-07-18,17882
2014-07-25,40725
2014-07-25,22048
2014-07-05,15740
2014-07-05,35661
2014-07-12,18463
2014-07-12,46261
2014-07-19,17203
2014-07-19,14658
2014-07-26,23355
2014-07-26,31680
2014-07-01,43509
2014-07-01,24686
2014-07-06,37900
2014-07-06,49915
2014-07-13,48224
2014-07-13,17872
2014-07-20,12166
2014-07-20,14631
2014-07-27,40585
2014-07-27,39802
2014-07-06,36021
2014-07-06,29186
2014-07-13,49407
2014-07-13,43223
2014-07-20,37238
2014-07-20,30147
2014-07-27,43102
2014-07-27,23008
2014-07-07,41411
2014-07-07,16012
2014-07-14,47365
2014-07-14,10497
2014-07-08,38879
2014-07-08,30618
2014-07-21,36317
2014-07-21,12056
2014-07-28,43958
2014-07-28,48829
2014-07-02,38523
2014-07-02,25502
2014-07-09,38747
2014-07-09,30154
2014-07-16,15084
2014-07-16,39892
2014-07-23,30755
2014-07-23,19195
2014-07-30,14860
2014-07-30,12081
2014-07-15,12916
2014-07-15,34082
2014-07-22,33846
2014-07-22,41920
2014-07-29,46738
2014-07-29,33195
2014-07-03,11803
2014-07-03,43918
2014-07-10,36560
2014-07-10,46580
2014-07-17,17315
2014-07-17,16780
2014-08-23,18984
2014-08-23,21129
2014-08-30,22276
2014-08-30,24731
2014-08-03,42621
2014-08-03,22310
2014-08-10,47899
2014-08-10,18643
2014-08-17,42553
2014-08-17,33518
2014-08-24,33321
2014-08-24,20505
2014-08-31,17553
2014-08-31,28714
2014-08-03,11824
2014-08-03,40051
2014-08-10,24476
2014-08-10,32013
2014-08-17,27562
2014-08-17,44746
2014-08-01,29858
2014-08-01,38593
2014-08-24,35138
2014-08-24,14390
2014-08-31,19579
2014-08-31,46829
2014-08-04,38583
2014-08-04,19356
2014-08-11,45519
2014-08-11,17369
2014-08-18,26916
2014-08-18,37251
2014-08-25,41198
2014-08-25,21692
2014-08-05,43315
2014-08-05,33414
2014-08-12,33704
2014-08-12,46251
2014-08-19,39590
2014-08-19,12721
2014-08-26,31043
2014-08-26,36655
2014-08-08,22052
2014-08-08,45031
2014-08-07,10050
2014-08-07,40898
2014-08-14,41641
2014-08-14,18656
2014-08-21,16874
2014-08-21,38163
2014-08-28,48791
2014-08-28,27754
2014-08-06,13551
2014-08-06,20411
2014-08-13,33539
2014-08-13,29429
2014-08-20,17180
2014-08-20,23978
2014-08-27,21889
2014-08-27,22032
2014-08-15,38619
2014-08-15,34539
2014-08-22,14320
2014-08-22,22692
2014-08-29,43315
2014-08-29,29055
2014-08-02,30292
2014-08-02,19876
2014-08-09,35608
2014-08-09,21888
2014-08-16,30795
2014-08-16,16012
2014-09-23,26243
2014-09-23,48452
2014-09-30,49797
2014-09-30,12831
2014-09-04,15128
2014-09-04,40914
2014-09-11,26576
2014-09-11,12884
2014-09-18,33914
2014-09-18,23858
2014-09-25,45211
2014-09-25,11184
2014-09-05,30470
2014-09-05,15626
2014-09-12,49657
2014-09-12,39602
2014-09-19,33921
2014-09-19,47404
2014-09-26,32368
2014-09-26,11046
2014-09-01,19714
2014-09-01,29590
2014-09-06,34417
2014-09-06,15459
2014-09-13,24479
2014-09-13,22522
2014-09-20,44203
2014-09-20,27731
2014-09-27,40557
2014-09-27,15933
2014-09-07,28648
2014-09-07,38664
2014-09-14,46577
2014-09-14,27215
2014-09-21,28632
2014-09-21,35354
2014-09-28,48305
2014-09-28,49912
2014-09-07,22370
2014-09-07,27689
2014-09-14,39555
2014-09-14,33751
2014-09-08,22587
2014-09-08,11635
2014-09-21,11219
2014-09-21,11139
2014-09-28,33329
2014-09-28,39827
2014-09-03,42590
2014-09-03,27865
2014-09-10,42909
2014-09-10,39744
2014-09-17,34156
2014-09-17,22620
2014-09-24,41336
2014-09-24,13138
2014-09-15,41192
2014-09-15,41999
2014-09-22,18295
2014-09-22,12408
2014-09-29,49756
2014-09-29,48932
2014-09-02,13531
2014-09-02,46737
2014-09-09,12257
2014-09-09,26366
2014-09-16,27147
2014-09-16,31512
2014-10-05,38660
2014-10-05,37512
2014-10-12,4669
2014-10-12,2187
2014-10-06,49149
2014-10-06,14675
2014-10-07,31313
2014-10-07,23485
2014-10-01,15625
2014-10-01,36552
2014-10-08,36750
2014-10-08,42588
2014-10-02,44627
2014-10-02,10144
2014-10-09,11199
2014-10-09,49460
2014-10-03,49239
2014-10-03,18759
2014-10-10,17099
2014-10-10,16420
2014-10-04,48858
2014-10-04,23685
2014-10-11,23036
2014-10-11,13442
2014-10-05,28654
2014-10-05,11299
2014-05-15,3526
2014-06-20,3698
2014-06-20,8835
2014-09-05,4365
2014-09-05,2038
2014-05-30,6319
2014-05-30,4584
2014-05-30,3177
2014-05-30,3059
2014-05-30,5532
2014-05-30,6621
2014-05-07,6232
2014-04-14,10259
2014-01-27,6998
2014-02-06,4396
2014-02-06,2685
2014-02-06,5272
2014-02-06,9196
2014-02-06,7485
2014-02-06,9443
2014-05-20,10939
2014-05-20,48440
2014-05-27,19914
2014-05-27,37917
2014-05-22,38138
2014-05-22,44536
2014-05-29,47992
2014-05-29,47910
2014-05-09,25571
2014-05-09,21679
2014-05-16,30069
2014-05-16,42476
2014-05-23,42198
2014-05-23,38501
2014-05-30,31162
2014-05-30,30188
2014-05-10,11116
2014-05-10,29809
2014-05-17,22806
2014-05-17,17598
2014-05-07,34890
2014-05-07,20069
2014-05-24,29849
2014-05-24,46495
2014-05-31,31704
2014-05-31,21182
2014-05-24,20358
2014-05-24,42523
2014-05-31,32166
2014-05-31,15457
2014-05-18,29224
2014-05-18,20089
2014-05-25,30660
2014-05-25,33394
2014-05-14,22632
2014-05-14,27427
2014-05-21,25291
2014-05-21,36035
2014-05-28,11822
2014-05-28,24322
2014-05-12,34381
2014-05-12,16070
2014-05-19,33684
2014-05-19,23667
2014-05-26,44996
2014-05-26,28371
2014-05-13,38216
2014-05-13,20613
2014-06-24,14296
2014-06-24,19946
2014-06-11,12728
2014-06-11,18196
2014-06-18,45565
2014-06-18,11438
2014-06-25,42040
2014-06-25,41903
2014-06-05,15890
2014-06-05,22795
2014-06-12,14373
2014-06-12,42884
2014-06-19,20331
2014-06-19,23361
2014-06-26,16450
2014-06-26,27303
2014-06-06,16533
2014-06-06,18172
2014-06-02,36080
2014-06-02,33063
2014-06-13,19611
2014-06-13,23002
2014-06-20,35687
2014-06-20,30336
2014-06-27,39163
2014-06-27,21449
2014-06-27,37843
2014-06-27,18295
2014-06-07,40964
2014-06-07,22281
2014-06-14,24358
2014-06-14,28333
2014-06-21,29412
2014-06-21,42161
2014-06-28,20305
2014-06-28,48902
2014-06-07,44970
2014-06-07,18433
2014-06-14,22054
2014-06-14,40775
2014-06-09,32229
2014-06-09,31637
2014-06-21,23667
2014-06-21,18440
2014-06-28,37593
2014-06-28,37144
2014-06-29,45641
2014-06-29,10051
2014-06-01,49823
2014-06-01,13860
2014-06-08,42114
2014-06-08,23470
2014-06-15,46786
2014-06-15,45279
2014-06-22,44058
2014-06-22,46372
2014-06-29,12063
2014-06-29,49697
2014-06-16,40901
2014-06-16,45261
2014-06-23,39471
2014-06-23,34751
2014-06-30,45042
2014-06-30,14384
2014-06-03,15728
2014-06-03,34824
2014-06-10,41780
2014-06-10,45333
2014-06-17,10882
2014-06-17,12398
2014-07-01,25770
2014-07-01,40895
2014-07-08,20374
2014-07-08,17842
2014-07-15,31517
2014-07-15,30468
2014-07-22,14743
2014-07-22,34853
2014-07-29,41096
2014-07-29,35351
2014-07-01,36580
2014-07-01,18556
2014-07-08,21530
2014-07-08,24844
2014-07-15,44107
2014-07-15,33856
2014-07-22,39963
2014-07-22,27362
